81	KNOB -THERMOSTAT D.6 MM (31X28,7) - CHRO	Knob / Button	Freezer	1
82	MICROSWITCH CAM	Unknown	Cooker Hood	0
83	WHITE BUTTON	Knob / Button	Oven	1
84	COMMUTATOR PROTECTION	Unknown	Cooker Hood	0
85	PUSH-BUTTON REDUCTION WASH 65 °C 'LST660	Knob / Button	Dishwasher	1
86	PROGRAMMER KNOB AN	Knob / Button	Oven	1
87	PROGRAMMER KNOB IX	Knob / Button	Oven	1
88	KNOB (RUSTIC) - OLD WHITE	Knob / Button	Cooker Hood	1
89	PINCE ASSEMBLAGE AVEC MACHOIRE MB8	Unknown	Refrigerator	0
90	EGG TRAY 223X23X96 - GREY-69	Unknown	Refrigerator	0
91	PROGRAMMER KNOB IX	Knob / Button	Oven	1
92	WHITE HANDLE	Handle	Oven	1
93	KNOB, AN	Knob / Button	Oven	1
94	KNOB, AN	Knob / Button	Cooker Hood	1
95	KNOB DISC - DARK GREY	Knob / Button	Cooker Hood	1
96	COPERCHIO SPARGITORE BRUCIATORE INTENSIV	Unknown	Cooker Hood	0
97	LOCK AXIS GUIDE, ASSEMBLED	Unknown	Oven	0
98	HANDLE SUPPORT WH	Knob/Handle support	Cooker Hood	2
99	HANDLE SUPPORT AN	Knob/Handle support	Cooker Hood	2
100	KNOB CUP WH	Knob / Button	Cooker Hood	1
101	KNOB, AN	Knob / Button	Oven	1
102	PUSH BUTTON KNOB - WHITE 27	Knob / Button	Washing Machine	2
103	FUNCTIONS KNOB AN	Knob / Button	Cooker Hood	1
104	THERMOSTAT KNOB WH	Knob / Button	Cooker Hood	1
105	FLAP UPPER BASKET 'ARISTON'	Basket	Dishwasher	1
106	HINGE SUPPORT (ROLLER HINGE PIVOT) MONOB	Hinge	Unknown	1
107	CIRCLIP PRESTOLE 1053049	Unknown	Oven	0
108	DRUM SUPPORT	Select support	Unknown	1
109	PUSHBUTTON - WHITE (SHINY)	Unknown	Unknown	0
110	PRESSURE SWITCH PIPE HOLE PLUG	Unknown	Washing Machine	0
111	KNOB - WHITE	Knob / Button	Cooker Hood	1
112	PROGRAMME KNOB COVER	External cover	Washing Machine	1
113	PUSH-BUTTON KNOB ON/OFF VESMALIT	Knob / Button	Dishwasher	2
114	PUSH BUTTON KNOB - WHITE 27	Knob / Button	Washing Machine	2
115	TIME KNOB	Knob / Button	Washing Machine	1
116	SWITCH 0-1 CROMATO	Unknown	Unknown	0
117	CONTROL KNOB	Control pannel box	Cooker Hood	1
118	BOX COVER	Electrical box 	Oven	1
119	ROLLER HOLDER	Unknown	Oven	0
120	KNOB DISC GAS BURNERS -OW-	Knob / Button	Cooker Hood	1
121	KNOB WH	Knob / Button	Unknown	1
122	SUPPORT - PRESSURE SWITCH	Select support	Unknown	1
123	RAPID/INTENSIVE KNOB	Knob / Button	Washing Machine	1
124	KEY	Unknown	Washing Machine	0
125	KNOB ANTHRACITE P70SCHOLTES	Knob / Button	Cooker Hood	1
126	KNOB (PROGRAMMER)-DIAMOND INOX	Knob / Button	Unknown	1
127	SUPPORT - PROGRAMME GUIDE TBC	Water guide	Washing Machine	1
128	SPIN REGOLATION KNOB WHITE 27 800 RPM	Knob / Button	Washing Machine	1
129	SPIN REGOLATION KNOB WHITE 27 800 RPM	Knob / Button	Washing Machine	1
130	UPPER PART SUPPORT	Select support	Unknown	1
131	GANCIO CHIUSURA OBLO	Unknown	Washing Machine	0
132	SPIN REGOLATION KNOB WHITE KIT	Knob / Button	Washing Machine	1
133	KNOB DISC-ANTHRACITE GAS	Knob / Button	Unknown	1
134	TEMPERATUR KNOB GREY 1	Knob / Button	Washing Machine	1
135	SPIN REGULATION KNOB SET	Knob / Button	Washing Machine	1
136	KNOB GAS -WHITE PF640A	Knob / Button	Unknown	1
137	HINGE COVER - WHITE WXH 105X52/60	External cover	Refrigerator	1
138	CLIP FASTEX (54-1949-1100)	Unknown	Refrigerator	0
139	TRIM (406X19X16.5MM) WHITE	Unknown	Refrigerator	0
140	HINGE HOLE COVER RH 59X35-WH UPPER DOOR	Unknown	Freezer	0
141	LABEL HOLDER WHITE INDESIT (3-PILOT)	Unknown	Freezer	0
142	LABEL HOLDER WHITE INDESIT (NO-PILOT)	Unknown	Refrigerator	0
143	LOWER HEATING ELEMENT BOX	Electrical box 	Oven	1
144	KNOB WH	Knob / Button	Oven	1
145	FUNCTIONS DISC	Unknown	Oven	0
146	BONDED KNOB, AN	Knob / Button	Oven	1
147	BONDED CONTROL PANEL, IX	Control pannel box	Oven	1
148	KNOB ICE	Knob / Button	Unknown	1
149	KNOB GREY SILVER FIAT 647	Knob / Button	Washing Machine	1
150	PUSH BUTTONSWITCH SILVER FIAT 647	Unknown	Washing Machine	0
151	SPIN REGULATION KNOB SET GREY 1	Knob / Button	Washing Machine	1
152	KNOB (RUSTIC OVEN) - AN	Knob / Button	Cooker Hood	1
153	LABEL HOLDER SILVER-647 INDESIT (NO-PILO	Unknown	Refrigerator	0
154	WHITE GAS OVEN KNOB 90	Knob / Button	Cooker Hood	1
155	WHITE KNOB DISC FOR OVEN	Knob / Button	Cooker Hood	1
156	KNOB DISC FOR WHITE	Knob / Button	Cooker Hood	1
157	WHITE KNOB FOR ELECTRIC OVEN	Knob / Button	Cooker Hood	1
158	TEMPERATUR KNOB GREY 2	Knob / Button	Washing Machine	1
159	HINGE COVER RH 59X35-ALUMINI.UPPER DOO	Unknown	Freezer	0
160	BLANKING PLUG (74X20) - SILVER	Unknown	Freezer	0
161	HINGE SURROUND RH 67X13 -SILVER UPPER DO	Unknown	Freezer	0
162	COMPONENTS KNOB TL PH2001	Knob / Button	Washing Machine	1
163	COVER SIPHON TL PH2001	External cover	Washing Machine	1
164	SET SUMP	Unknown	Dishwasher	0
165	KNOB FILO TECH ALU	Knob / Button	Unknown	1
166	PUSHBUTTON WHITE	Unknown	Washing Machine	0
167	SPIN REGULATION KNOB SET	Knob / Button	Washing Machine	1
168	ROLLER-LOWER BASKET	Basket	Dishwasher	1
169	BASE PH2001 ATD	Unknown	Washing Machine	0
170	COMPONENTS KNOB TL ARISTON	Knob / Button	Washing Machine	1
171	FREEZER FRONT/FLAP (414X162X25MM) CLEAR	Unknown	Freezer	0
172	SUPPORT PROTECTION LED, LEFT	Select support	Dishwasher	1
173	PROTECTION SUPPORT (PROG LED), RIGHT	Select support	Dishwasher	1
174	KNOB	Knob / Button	Unknown	1
175	KNOB SUPPORT FOR ELECTRIC PLATE INOX	Knob/Handle support	Unknown	2
176	ELECTRIC OVEN KNOB INOX	Knob / Button	Oven	1
